RMIX Batch,Fin Batch,MDL,MDA,MDB,TDL,TDA,TDB,STR
23633,23799,-1,-0.4,-0.9,-0.7,-0.4,-1,104
35324,35816,-0.2,-0.2,-0.5,-0.3,-0.4,-0.8,102
42908,53780,0,-0.1,-0.2,0.2,-0.1,-0.2,98
42909,53781,0.2,-0.2,-0.4,-0.1,-0.1,-0.3,100
42910,53782,0.4,0,-0.2,0.2,0,0,98
31531,54118,0.6,-0.1,0.3,1.2,-0.3,0.2,92
54214,54245,2.5,0.2,-0.2,1.4,0.1,0.4,91
54215,54246,0.5,0.2,1.3,1.8,-0.3,0.5,89
54216,54250,0.6,0.1,0,-0.2,0.2,0.3,102
54715,54729,-1.4,-0.4,-0.7,-0.4,-0.4,-1,102
54716,54730,-0.1,-0.2,-0.7,-0.2,-0.1,-0.6,101
54717,54731,-0.4,-0.1,-0.3,-0.6,0,-0.2,104
54963,54969,-0.6,-0.1,-0.2,-0.6,0.1,-0.2,105
54964,54970,-0.4,-0.1,-0.2,-0.3,-0.1,-0.4,101
54965,54971,-0.1,0.1,0,0.2,-0.1,-0.2,99
55763,55784,-0.3,-0.1,-0.2,0.4,-0.2,-0.4,97
55764,55785,0.1,-0.1,-0.6,-0.2,0,-0.4,100
55765,55786,0.1,0.1,-0.1,-0.5,0.2,0.1,103
56058,56068,0.7,0.1,-0.1,-0.4,0.2,0.1,103
56059,56069,0,0,-0.2,0.1,-0.2,-0.2,99
56060,56070,0.7,0.1,0,-0.2,0.1,0.2,102
56486,56501,0.1,-0.1,-0.2,-0.4,0,-0.2,102
56487,56502,0,-0.1,-0.2,-0.3,0,-0.1,102
56488,56503,-0.1,-0.1,-0.1,-0.1,0,0,100
56698,56755,1.3,-0.1,-0.2,1.9,-0.3,0,88
56699,56756,-0.2,-0.1,-0.2,0.2,-0.2,-0.3,98
56700,56735,0.3,0.1,0,-0.2,0.2,0.1,101
57212,57222,-0.2,-0.1,-0.2,0.2,-0.1,-0.3,98
63837,64315,-0.6,-0.2,-0.6,-0.6,-0.2,-0.7,103
63903,64318,-0.3,-0.3,-0.6,-0.2,-0.2,-0.5,101
63904,64319,0.2,-0.2,-1.2,0,-0.1,-0.7,99
63905,64320,0.4,0,-0.1,0,0.1,0,100
63906,64321,0.8,0.2,0.4,0.4,0.1,0.5,98
63907,64322,-1,-0.3,-0.7,-0.3,-0.3,-0.8,101
64144,64323,-0.2,-0.1,-0.2,0.2,-0.2,-0.3,98
64145,64324,-0.8,0,0,0.3,-0.1,-0.4,97
64146,64325,0.6,0,-0.1,0.6,-0.1,-0.1,96
64147,64326,-0.1,-0.1,-0.3,0.6,-0.3,-0.4,95
64148,64327,0.8,0,-0.2,0.8,-0.2,-0.2,95
64149,64328,-0.2,-0.3,-0.7,0.5,-0.4,-0.6,96
65139,65175,-0.8,-0.4,-0.3,1.6,-0.7,-0.7,89
65136,65176,-0.8,-0.1,-0.1,0.2,-0.3,-0.4,98
65138,65177,0.8,0.3,1.1,1.5,-0.1,0.8,91
65135,65178,-0.9,-0.1,-0.2,-0.2,-0.3,-0.4,101
65167,65179,0,0,-0.1,0.6,-0.2,-0.3,95
65460,65463,-0.7,0,-0.2,-0.3,0,-0.3,102
65461,65464,-1.9,-0.5,-0.6,-0.8,-0.6,-1.3,104
65603,65619,-0.3,-0.2,-0.2,0.4,-0.2,-0.3,97
65602,65620,-0.1,-0.1,-0.1,-0.2,0,-0.1,101
65610,65621,1.1,0.3,2.2,2.7,-0.4,1.2,85
65636,65660,0.4,-0.2,-0.3,0.3,-0.1,-0.2,97
65637,65661,-0.4,-0.3,-0.3,0.4,-0.3,-0.3,97
65763,65808,-0.2,0,-0.2,0.2,-0.1,0,99
65764,65809,-1,-0.2,-0.3,-0.4,-0.2,-0.6,102
65765,65810,-2.5,-1.6,-1.6,4.3,-2,-1.9,73
65912,65921,-0.4,0,0,-0.5,-0.1,-0.1,104
65913,65922,1.2,-0.2,-1.3,1.9,-0.4,-1.1,86
65914,65923,-0.4,-0.2,-1,-0.2,-0.1,-0.8,100
66018,66042,-0.6,-0.1,-0.4,-0.2,-0.1,-0.4,101
66022,66043,-0.6,-0.2,-0.3,0,-0.2,-0.4,100
66023,66044,-0.2,-0.1,-0.6,-0.4,0.1,-0.3,103
66024,66045,-0.2,-0.1,-0.2,-0.4,0,-0.2,103
66147,66178,0,-0.3,-0.3,1.8,-0.6,-0.4,88
66148,66179,-0.4,-0.2,-0.5,-0.3,0,-0.3,102
66150,66180,-0.9,-0.2,-0.5,0.3,-0.3,-0.6,98
66151,66181,-0.3,-0.1,-0.2,-0.3,0,-0.3,102
66339,66352,-0.5,-0.2,-0.2,0.5,-0.2,-0.4,96
66340,66353,-0.2,0,0,0.1,-0.1,-0.1,99
66341,66354,-0.6,-0.2,-0.4,-0.2,-0.2,-0.5,101
66342,66355,-0.3,-0.3,-0.5,0.2,-0.1,-0.3,99
66552,66589,0,0,-0.1,-0.4,-0.1,-0.1,103
66554,66590,-0.1,0,-0.2,0,-0.1,-0.2,100
66556,66592,0.4,0.1,0.1,-0.3,0.2,0.3,103
66686,66735,-0.2,-0.2,-0.4,0.1,-0.2,-0.4,99
66687,66736,-0.6,-0.2,-0.6,0.2,-0.2,-0.5,98
66688,66737,-0.2,0,-0.2,-0.1,0,-0.2,100
66689,66738,-0.8,-0.1,-0.4,-0.5,-0.1,-0.4,103
66877,66901,-1.1,-0.3,-0.5,0,-0.3,-0.6,99
66878,66902,-1.2,-0.2,-0.1,0.1,-0.3,-0.5,99
66879,66903,-1.2,-0.2,-0.1,0,-0.3,-0.5,100
66880,66904,-0.6,-0.2,-0.4,-0.6,0,-0.4,104
66946,67029,-0.5,-0.3,-0.4,0.4,-0.2,-0.3,97
66981,67034,0.1,0.1,0.1,0.4,0,0.2,98
67219,67247,0.5,0,0,0.3,-0.1,0.1,98
67220,67248,0.1,-0.1,-0.1,0.8,-0.2,0,95
67221,67249,0.2,0,-0.2,0.6,-0.1,-0.3,95
67222,67250,0.2,0,0,0.8,-0.1,-0.2,94
67624,2955,-0.3,-0.2,-0.4,0.3,-0.2,-0.4,98
67625,2956,-0.2,-0.1,-0.3,0,-0.1,-0.2,100
67873,2957,0.3,-0.2,-0.2,1.6,-0.4,-0.1,89
68088,3043,-0.1,0,0.1,0,0,-0.1,100
68089,3044,-0.6,-0.1,-0.3,-0.1,-0.1,-0.3,100
68090,3045,-0.6,-0.2,-0.5,-0.2,-0.2,-0.5,101
68091,3046,-0.2,-0.1,-0.3,-0.2,-0.2,-0.4,101
68404,3081,-0.3,-0.1,-0.3,0.1,-0.2,-0.4,99
68405,3082,0.3,0,-0.1,0.3,0,-0.2,98
68406,3083,-0.1,0,-0.2,-0.2,-0.1,-0.2,101
68628,3615,3.3,0.3,0.4,2.4,0.1,1.1,85
