Date Issued,Material,Order,RMIX Batch,Antimony Oxide,Manganic Oxide,Titanium Dioxide - Anatase,Kiln,Hearth,Cycle,Temp
,BR0010P850-RMIX,,23631,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,23633,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,23632,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,35975,RM0615,RM4620,RM6707,,,,
,BR0010P850-RMIX,,54216,RM0615,RM4620,RM6718,,,,
,BR0010P850-RMIX,,54715,RM0615,RM4620,RM6718,,,,
,BR0010P850-RMIX,,54716,RM0615,RM4620,RM6718,,,,
,BR0010P850-RMIX,,54717,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,54963,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,54964,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,54965,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,55763,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,55764,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,55765,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,56058,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,56059,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,56060,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,56486,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,56487,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,56488,RM0615,RM4620,RM6729,,,,
,BR0010P850-RMIX,,56698,RM0615,RM4621,RM6707,,,,
,BR0010P850-RMIX,,56699,RM0615,RM4620,RM6713,,,,
,BR0010P850-RMIX,,56700,RM0615,RM4620,RM6707,,,,
,BR0010P850-RMIX,,57211,RM0615,RM4620,RM6707,,,,
,BR0010P850-RMIX,,57212,RM0615,RM4620,RM6707,,,,
,BR0010P850-RMIX,,57213,RM0615,RM4620,RM6707,,,,
,BR0010P850-RMIX,,63837,RM0615,RM4615,RM6729,,,,
,BR0010P850-RMIX,,63903,RM0615,RM4615,RM6729,,,,
,BR0010P850-RMIX,,63904,RM0615,RM4615,RM6729,,,,
,BR0010P850-RMIX,,63905,RM0615,RM4615,RM6729,,,,
,BR0010P850-RMIX,,63906,RM0615,RM4615,RM6729,,,,
,BR0010P850-RMIX,,63907,RM0615,RM4615,RM6729,,,,
,BR0010P850-RMIX,,64144,RM0615,RM4615,RM6713,,,,
,BR0010P850-RMIX,,64145,RM0615,RM4615,RM6713,,,,
,BR0010P850-RMIX,,64146,RM0615,RM4623,RM6713,,,,
,BR0010P850-RMIX,,64147,RM0615,RM4623,RM6713,,,,
,BR0010P850-RMIX,,64148,RM0615,RM4623,RM6713,,,,
,BR0010P850-RMIX,,64149,RM0615,RM4623,RM6713,,,,
,BR0010P850-RMIX,,65136,RM0615,RM4615,RM6713,,,,
