Date Issued,Material,Order,RMIX Batch,Ing1,Ing5,Ing3,Kiln,Hearth,Cycle,Temp
,BR0045-Rmix,,23631,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,23633,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,23632,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,35975,RM0648,RM4632,RM6828,,,,
,BR0045-Rmix,,54216,RM0648,RM4632,RM6731,,,,
,BR0045-Rmix,,54715,RM0648,RM4632,RM6731,,,,
,BR0045-Rmix,,54716,RM0648,RM4632,RM6731,,,,
,BR0045-Rmix,,54717,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,54963,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,54964,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,54965,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,55763,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,55764,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,55765,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,56058,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,56059,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,56060,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,56486,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,56487,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,56488,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,56698,RM0648,RM4636,RM6828,,,,
,BR0045-Rmix,,56699,RM0648,RM4632,RM6872,,,,
,BR0045-Rmix,,56700,RM0648,RM4632,RM6828,,,,
,BR0045-Rmix,,57211,RM0648,RM4632,RM6828,,,,
,BR0045-Rmix,,57212,RM0648,RM4632,RM6828,,,,
,BR0045-Rmix,,57213,RM0648,RM4632,RM6828,,,,
,BR0045-Rmix,,63837,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,63903,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,63904,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,63905,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,63906,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,63907,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,64144,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,64145,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,64146,RM0648,RM4781,RM6872,,,,
,BR0045-Rmix,,64147,RM0648,RM4781,RM6872,,,,
,BR0045-Rmix,,64148,RM0648,RM4781,RM6872,,,,
,BR0045-Rmix,,64149,RM0648,RM4781,RM6872,,,,
,BR0045-Rmix,,65136,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,65135,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,65167,RM0648,RM4636,RM6872,,,,
,BR0045-Rmix,,65460,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,65603,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,65602,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,65610,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,65636,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,65637,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,65763,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,65764,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,65765,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,65912,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,65913,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,65914,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66018,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66022,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66023,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66024,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66148,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,66150,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,66151,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,66339,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66340,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66341,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66342,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66552,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66554,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66555,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66556,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66686,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66687,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66688,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66689,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,66877,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,66878,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,66879,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,66880,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,66946,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,67219,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,67220,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,67221,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,67222,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,67623,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,67624,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,67625,RM0648,RM4649,RM6872,,,,
,BR0045-Rmix,,67869,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68088,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68089,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68090,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68091,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68403,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68404,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68405,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68406,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68628,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68629,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68630,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,68631,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,13597,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,13598,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,13599,RM0648,RM4649,RM6828,,,,
,BR0045-Rmix,,13600,RM0648,RM4649,RM6828,,,,
,BR0045-Rmix,,14763,RM0648,RM4649,RM6828,,,,
,BR0045-Rmix,,14765,RM0648,RM4649,RM6828,,,,
,BR0045-Rmix,,14766,RM0648,RM4649,RM6828,,,,
,BR0045-Rmix,,14767,RM0648,RM4636,RM6828,,,,
,BR0045-Rmix,,15556,RM0648,RM4649,RM6828,,,,
,BR0045-Rmix,,15557,RM0648,RM4649,RM6828,,,,
,BR0045-Rmix,,16203,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,16204,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,18740,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,18750,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,18751,RM0648,RM4636,RM6750,,,,
,BR0045-Rmix,,19365,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,19689,RM0648,RM4649,RM6750,,,,
,BR0045-Rmix,,19690,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,19364,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,20401,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,20580,RM0648,RM4738,RM6872,,,,
,BR0045-Rmix,,20581,RM0648,RM4738,RM6872,,,,
,BR0045-Rmix,,20962,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,20964,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,20967,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,21005,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,22024,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,22026,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,22319,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,22324,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,22810,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,22811,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,22813,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,22817,RM0648,RM4636,RM6750,,,,
,BR0045-Rmix,,23654,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,23655,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,23656,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,23657,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,24164,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,24165,RM0648,RM4738,RM6750,,,,
,BR0045-Rmix,,24167,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,24221,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,24781,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,24782,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,24783,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,24784,RM0648,RM4781,RM6750,,,,
,BR0045-Rmix,,25310,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,25312,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,25313,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,25314,RM0648,RM4636,RM6750,,,,
,BR0045-Rmix,,25542,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,25543,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,25544,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,25545,RM0648,RM4738,RM6828,,,,
,BR0045-Rmix,,31394,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,31395,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,31398,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,31399,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,31716,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,31718,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,31719,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,32091,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,32092,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,32093,RM0648,RM4632,RM6750,,,,
,BR0045-Rmix,,32095,RM0648,RM4636,RM6750,,,,
1/14/2022,BR0045-Rmix,1134798,32911,RM0648,RM4632,RM6750,12,,,
1/14/2022,BR0045-Rmix,1134799,32912,RM0648,RM4632,RM6750,12,,,
1/14/2022,BR0045-Rmix,1134800,32913,RM0648,RM4632,RM6750,12,,,
1/14/2022,BR0045-Rmix,1134801,32914,RM0648,RM4632,RM6750,12,,,
1/21/2022,BR0045-Rmix,1135148,33344,RM0648,RM4632,RM6750,12,,,
1/21/2022,BR0045-Rmix,1135149,33353,RM0648,RM4632,RM6750,12,,,
1/21/2022,BR0045-Rmix,1135150,33354,RM0648,RM4632,RM6750,12,,,
1/21/2022,BR0045-Rmix,1135151,33355,RM0648,RM4632,RM6750,12,,,
3/8/2022,BR0045-Rmix,1138108,36102,RM0648,RM4632,RM6872,12,,,
3/8/2022,BR0045-Rmix,1138109,36103,RM0648,RM4632,RM6872,12,,,
3/8/2022,BR0045-Rmix,1138110,36104,RM0648,RM4632,RM6872,12,,,
3/8/2022,BR0045-Rmix,1138111,36106,RM0648,RM4632,RM6872,12,,,
3/21/2022,BR0045-Rmix,4001496,36960,RM0648,RM4632,RM6831,12,,,
3/21/2022,BR0045-Rmix,4001497,36962,RM0648,RM4781,RM6872,12,,,
3/21/2022,BR0045-Rmix,4001498,36963,RM0726,RM4632,RM6872,12,,,
3/25/2022,BR0045-Rmix,1139341,37338,RM0648,RM4632,RM6872,12,,,
3/25/2022,BR0045-Rmix,1139342,37340,RM0648,RM4632,RM6872,12,,,
3/30/2022,BR0045-Rmix,1139622,37657,RM0648,RM4632,RM6828,12,,,
3/30/2022,BR0045-Rmix,1139623,37658,RM0648,RM4632,RM6828,12,,,
3/30/2022,BR0045-Rmix,1139624,37659,RM0648,RM4632,RM6828,12,,,
3/30/2022,BR0045-Rmix,1139625,37660,RM0648,RM4632,RM6828,12,,,
4/5/2022,BR0045-Rmix,1139968,38051,RM0648,RM4632,RM6828,12,,,
4/5/2022,BR0045-Rmix,1139969,38052,RM0648,RM4632,RM6828,12,,,
4/5/2022,BR0045-Rmix,1139970,38053,RM0648,RM4632,RM6828,12,,,
4/5/2022,BR0045-Rmix,1139971,38054,RM0648,RM4632,RM6828,12,,,
4/11/2022,BR0045-Rmix,1140323,38402,RM0648,RM4632,RM6828,12,,,
4/11/2022,BR0045-Rmix,1140324,38403,RM0648,RM4632,RM6828,12,,,
4/11/2022,BR0045-Rmix,1140325,38404,RM0648,RM4632,RM6828,12,,,
4/25/2022,BR0045-Rmix,1141309,39195,RM0648,RM4632,RM6828,12,,,
4/25/2022,BR0045-Rmix,1141310,39196,RM0648,RM4632,RM6828,12,,,
4/25/2022,BR0045-Rmix,1141311,39197,RM0648,RM4632,RM6828,12,,,
4/25/2022,BR0045-Rmix,1141312,39198,RM0648,RM4632,RM6828,12,,,
4/28/2022,BR0045-Rmix,4001586,39422,RM0648,RM4636,RM6872,12,,,
4/28/2022,BR0045-Rmix,4001587,39423,RM0648,RM4636,RM6872,12,,,
4/28/2022,BR0045-Rmix,1141636,39426,RM0648,RM4632,RM6872,12,,,
4/28/2022,BR0045-Rmix,1141637,39428,RM0648,RM4632,RM6872,12,,,
4/28/2022,BR0045-Rmix,1141638,39429,RM0648,RM4632,RM6872,12,,,
4/28/2022,BR0045-Rmix,1141639,39430,RM0648,RM4632,RM6750,12,,,
5/6/2022,BR0045-Rmix,1142134,39914,RM0648,RM4632,RM6750,12,,,
5/6/2022,BR0045-Rmix,1142135,39915,RM0648,RM4632,RM6750,12,,,
5/6/2022,BR0045-Rmix,1142136,39916,RM0648,RM4632,RM6750,12,,,
5/6/2022,BR0045-Rmix,1142137,39917,RM0648,RM4632,RM6750,12,,,
5/6/2022,BR0045-Rmix,4001635,39924,RM0648,RM4632,RM6831,12,,,
5/6/2022,BR0045-Rmix,4001636,39926,RM0648,RM4636,RM6750,12,,,
5/13/2022,BR0045-Rmix,1142584,40350,RM0648,RM4632,RM6872,12,,,
5/13/2022,BR0045-Rmix,1142585,40355,RM0648,RM4632,RM6872,12,,,
5/13/2022,BR0045-Rmix,4001638,40356,RM0648,RM4636,RM6750,12,,,
5/13/2022,BR0045-Rmix,4001639,40357,RM0648,RM4636,RM6750,12,,,
5/19/2022,BR0045-Rmix,4001648,40691,RM0648,RM4636,RM6872,12,,,
5/19/2022,BR0045-Rmix,4001649,40692,RM0648,RM4636,RM6872,12,,,
5/19/2022,BR0045-Rmix,4001650,40693,RM0648,RM4636,RM6872,12,,,
5/19/2022,BR0045-Rmix,4001651,40694,RM0648,RM4636,RM6872,12,,,
6/7/2022,BR0045-Rmix,1144185,41775,RM0648,RM4632,RM6872,12,,,
6/7/2022,BR0045-Rmix,1144186,41778,RM0648,RM4632,RM6872,12,,,
6/7/2022,BR0045-Rmix,1144187,41779,RM0648,RM4632,RM6872,12,,,
6/7/2022,BR0045-Rmix,1144188,41780,RM0648,RM4632,RM6872,12,,,
6/7/2022,BR0045-Rmix,1144189,41781,RM0648,RM4632,RM6872,12,,,
6/20/2022,BR0045-Rmix,1144946,42552,RM0648,RM4632,RM6750,12,,,
6/20/2022,BR0045-Rmix,1144947,42553,RM0648,RM4632,RM6750,12,,,
6/20/2022,BR0045-Rmix,1144948,42554,RM0648,RM4632,RM6750,12,,,
6/20/2022,BR0045-Rmix,1144949,42555,RM0648,RM4632,RM6750,12,,,
6/24/2022,BR0045-Rmix,4001721,42862,RM0648,RM4636,RM6828,12,,,
6/24/2022,BR0045-Rmix,4001722,42873,RM0648,RM4636,RM6828,12,,,
7/1/2022,BR0045-Rmix,4001742,43288,RM0648,RM4636,RM6750,12,,,
7/1/2022,BR0045-Rmix,4001743,43289,RM0648,RM4636,RM6750,12,,,
7/1/2022,BR0045-Rmix,4001744,43290,RM0648,RM4636,RM6750,12,,,
