RMIX Batch,Fin Batch,MDL,MDA,MDB,TDL,TDA,TDB,STR
2411,2562,-0.2,-0.9,-0.9,-0.1,-0.5,-0.6,99
2412,2563,-0.6,0.7,0.1,0.1,0.2,-1.2,95
2413,2564,-0.5,0.8,0.3,0.1,0.2,-1.2,95
2414,2565,-0.2,0.2,0.3,0,0.1,-0.5,98
5271,5378,0,0.3,0.2,0,0.2,0,100
5272,5379,0.2,0.2,0.3,-0.1,0.3,0.5,103
12523,12728,-0.4,0.7,0.1,0,0.3,-0.9,97
12524,12729,0.3,0.1,0.2,-0.1,0.2,0.6,103
15869,15595,-0.1,0,-0.2,-0.2,0.2,0,101
15603,15596,-0.5,0.6,0.1,0.1,0.3,-0.8,97
15604,16185,0.1,0.2,0.2,0.1,0.1,0.1,100
15868,16186,-0.1,0.5,0.4,-0.1,0.3,-0.2,100
17205,17186,-0.8,1,0.2,-0.2,0.5,-1.2,98
17206,17187,-0.6,0.8,0.2,-0.3,0.5,-0.6,101
17052,17264,-0.1,0.5,0.4,0,0.3,-0.2,99
17051,17265,-0.6,-0.1,-0.5,-0.3,0,-0.5,101
17875,18175,-0.4,0.6,0.2,0,0.2,-0.7,98
17873,18176,-0.5,0.8,0.4,0,0.3,-1,96
17874,18177,0,0.4,0.1,-0.1,0.3,0,100
19255,19304,0.5,0.1,0.3,-0.1,0.3,1.2,105
19254,19305,0.2,0.2,0.3,0.1,0.2,0.3,100
19252,19306,0,0.4,0.3,0.2,0.2,-0.6,96
19253,19307,0.3,-0.1,0.1,-0.1,0.1,0.8,103
21162,21282,0.6,0.2,0.4,0.3,0.2,0.3,98
21163,21283,0.6,0.3,0.4,0,0.2,0.5,101
21161,21284,0,0.2,0.2,-0.1,0.2,0.1,101
21164,21285,0.2,-0.4,-0.2,0,-0.1,0.6,102
23218,23439,0.2,-0.3,-0.1,0,-0.1,0,100
23217,23440,0.4,0.1,0.1,0.1,0.2,0.3,101
23492,23698,0.5,0.1,0.4,0,0.2,0.9,103
23754,23699,1,-0.7,0,-0.3,0.1,1.6,108
23493,23818,0.8,-0.7,0,-0.3,0.1,1.8,109
23755,23819,0.7,-0.2,0.4,-0.1,0.1,1,104
24646,24763,0.3,0,0.2,-0.2,0.2,0.6,104
24647,24764,1.4,-0.4,0.1,0.2,0.1,1.7,104
24648,24765,0.5,0,0.3,0,0.1,0.5,102
24649,24766,0.7,-0.1,0.1,-0.1,0.1,0.8,103
24932,24991,0.2,0.2,0.3,0,0.3,0.4,102
24933,24992,0,0.5,0.5,0.2,0.2,-0.4,97
25044,25081,-0.6,0.8,0.2,-0.1,0.3,-1,97
25041,25082,-0.4,0.6,0.3,0,0.2,-0.6,98
25042,25083,-0.6,0.9,0.3,0.1,0.3,-1,96
25043,25084,-0.7,1,0.4,-0.3,0.6,-0.6,101
25843,25860,0.5,0.1,0,0.2,0.1,0.3,99
25842,25861,0.4,0.2,0.3,0.2,0.1,-0.1,98
26266,26337,0.1,0.1,0,-0.1,0.1,0.3,101
26267,26338,0.1,0.2,0.2,-0.1,0.3,0.7,104
26268,26339,-0.1,0.4,0.1,0,0.2,-0.4,99
26265,26340,0,0.2,0.2,-0.2,0.2,0.2,103
26784,26821,-0.2,0.6,0.4,0.2,0.2,-0.6,96
26781,26822,0.1,0.4,0.4,-0.2,0.4,0.1,102
26782,26823,0,0.5,0.4,0.1,0.2,-0.3,98
26783,26856,-0.4,0.8,0.4,0.2,0.3,-0.8,96
27083,27148,0.3,0,0.1,-0.1,0.2,0.6,103
27084,27149,0.3,-0.1,-0.6,-1.1,0.9,2.7,119
28050,28224,-0.1,0.6,0.4,0.1,0.2,-0.3,98
28051,28229,0.1,0.3,0.4,-0.2,0.4,0.6,104
28052,28230,0.2,0.3,0.4,0.2,0.1,-0.5,97
28049,28436,0,0.4,0.3,-0.1,0.4,0.1,102
29308,29388,0.1,0.4,0.3,0,0.2,0,100
29309,29389,0.2,0,0.2,0.1,0,0.8,102
29310,29398,0.3,-0.1,0.2,0,0.1,0.6,102
30009,30156,-0.2,0.6,0,0.3,0.1,-1.1,94
30010,30163,0.1,0.3,0.4,0.2,0.1,0.1,99
30011,30165,0.2,0.4,0.6,0.4,0,-0.3,96
33453,33535,0.2,0.1,0.2,-0.1,0.2,0.2,101
33454,33539,-0.6,1,0.5,0,0.4,-1.3,96
33456,33575,1.8,-0.9,-0.6,0.4,-0.1,2,103
35424,35683,-0.2,0.7,0.3,0,0.4,-0.5,98
35425,35891,-0.4,0.9,0.5,-0.1,0.4,-0.8,98
35608,36020,-0.4,0.8,0.3,0,0.3,-0.4,99
36567,36776,-0.1,0.5,0.4,0,0.3,-0.1,100
36568,36777,-0.5,0.8,0.4,0,0.3,-0.7,97
36569,36778,-0.3,0.7,0.5,-0.1,0.4,-0.3,99
36653,36946,-0.3,0.7,0.4,-0.2,0.4,-0.2,101
37508,37604,-0.1,0.6,0.5,0.1,0.2,-0.5,97
37509,37605,-0.4,0.6,0.4,0.2,0.1,-0.8,96
37510,37606,-0.2,0.7,0.5,0.2,0.2,-0.6,96
37511,37607,0,0,0.2,0.1,-0.1,-0.3,98
37321,37615,0,0.5,0.4,0.2,0.2,-0.1,98
37322,37622,0.6,0.1,0.5,0,0.3,0.9,103
37323,37623,-0.1,0.6,0.4,0,0.2,-0.1,99
37650,37921,-0.4,0.5,0.2,-0.2,0.2,-0.4,100
38111,38323,0,0.5,0.5,0.1,0.2,0,99
38112,38324,0,0.3,0.4,0.3,0,-0.6,96
