Date Issued,Material,Order,RMIX Batch,Ing1,Ing2,Ing3,Ing4,Kiln,Hearth,Cycle,Temp
3/4/2016,YL0036-Rmix,PN0003809,2411,RM0684,RM1632,RM6841,RM6948,10,1,,1980
3/4/2016,YL0036-Rmix,PN0003810,2412,RM0684,RM1632,RM6841,RM6948,12,2,,1980
3/4/2016,YL0036-Rmix,PN0003811,2413,RM0684,RM1632,RM6841,RM6948,10,2,,1975
3/4/2016,YL0036-Rmix,PN0003812,2414,RM0684,RM1632,RM6841,RM6948,10,2,,1980
5/16/2016,YL0036-Rmix,PN0007848,5271,RM0684,RM1632,RM6841,RM6948,11,1,,1985
5/16/2016,YL0036-Rmix,PN0007849,5272,RM0684,RM1632,RM6841,RM6948,12,1,,1985
10/31/2016,YL0036-Rmix,PN0017815,12523,RM0684,RM1677,RM6841,RM6948,11,2,,1990
10/31/2016,YL0036-Rmix,PN0017816,12524,RM0684,RM1677,RM6841,RM6948,12,2,,1990
1/12/2017,YL0036-Rmix,PN0022345,15869,RM0684,RM1632,RM6841,RM6948,12,1,,1990
1/7/2017,YL0036-Rmix,PN0022001,15603,RM0684,RM1632,RM6841,RM6948,11,1,,1990
1/7/2017,YL0036-Rmix,PN0022002,15604,RM0684,RM1632,RM6841,RM6948,13,1,,1990
1/12/2017,YL0036-Rmix,PN0022344,15868,RM0684,RM1632,RM6841,RM6948,11,1,,1990
2/10/2017,YL0036-Rmix,PN0024161,17205,RM0684,RM1632,RM6841,RM6948,11,1,,1990
2/10/2017,YL0036-Rmix,PN0024162,17206,RM0684,RM1632,RM6841,RM6948,11,2,,1990
2/7/2017,YL0036-Rmix,PN0023963,17052,RM0684,RM1632,RM6841,RM6948,12,1,,1990
2/7/2017,YL0036-Rmix,PN0023962,17051,RM0684,RM1632,RM6841,RM6948,13,1,,1990
2/24/2017,YL0036-Rmix,PN0025073,17875,RM0684,RM1632,RM6841,RM6948,12,2,,1990
2/24/2017,YL0036-Rmix,PN0025071,17873,RM0684,RM1632,RM6841,RM6948,13,1,,1990
2/24/2017,YL0036-Rmix,PN0025072,17874,RM0684,RM1632,RM6841,RM6948,12,1,,1990
3/24/2017,YL0036-Rmix,PN0026937,19255,RM0684,RM1632,RM6841,RM6948,11,,,1970
3/24/2017,YL0036-Rmix,PN0026936,19254,RM0684,RM1632,RM6841,RM6948,12,1,,1970
3/24/2017,YL0036-Rmix,PN0026934,19252,RM0684,RM1632,RM6841,RM6948,13,1,,1970
3/24/2017,YL0036-Rmix,PN0026935,19253,RM0684,RM1632,RM6841,RM6948,12,2,,1970
5/2/2017,YL0036-Rmix,PN0029540,21162,RM0684,RM1632,RM6841,RM6948,13,,,1980
5/2/2017,YL0036-Rmix,PN0029541,21163,RM0684,RM1632,RM6841,RM6948,11,,,1980
5/2/2017,YL0036-Rmix,PN0029539,21161,RM0684,RM1632,RM6841,RM6948,12,,,1980
5/2/2017,YL0036-Rmix,PN0029542,21164,RM0684,RM1632,RM6841,RM6948,13,2,,1980
6/14/2017,YL0036-Rmix,PN0032375,23218,RM0684,RM1632,RM6841,RM6948,11,,,1980
6/14/2017,YL0036-Rmix,PN0032374,23217,RM0684,RM1632,RM6841,RM6948,12,,,1980
6/19/2017,YL0036-Rmix,PN0032714,23492,RM0684,RM1632,RM6841,RM6948,11,,,1980
6/23/2017,YL0036-Rmix,PN0033062,23754,RM0684,RM1632,RM6841,RM6948,12,,,1980
6/19/2017,YL0036-Rmix,PN0032715,23493,RM0684,RM1632,RM6841,RM6948,13,,,1980
6/23/2017,YL0036-Rmix,PN0033063,23755,RM0684,RM1632,RM6841,RM6948,11,,,1980
7/13/2017,YL0036-Rmix,PN0034331,24646,RM0684,RM1632,RM6841,RM6948,11,,,2000
7/13/2017,YL0036-Rmix,PN0034332,24647,RM0684,RM1632,RM6841,RM6948,11,,,2000
7/13/2017,YL0036-Rmix,PN0034333,24648,RM0684,RM1632,RM6841,RM6948,12,,,2000
7/13/2017,YL0036-Rmix,PN0034334,24649,RM0684,RM1632,RM6841,RM6948,13,,,1990
7/20/2017,YL0036-Rmix,PN0034749,24932,RM0684,RM1632,RM6841,RM6948,11,,,1990
7/20/2017,YL0036-Rmix,PN0034750,24933,RM0684,RM1632,RM6841,RM6948,11,,,1990
7/21/2017,YL0036-Rmix,PN0034872,25044,RM0684,RM1632,RM6841,RM6948,12,,,2050
7/21/2017,YL0036-Rmix,PN0034869,25041,RM0684,RM1632,RM6841,RM6948,12,,,2050
7/21/2017,YL0036-Rmix,PN0034870,25042,RM0684,RM1632,RM6841,RM6948,13,,,2050
7/21/2017,YL0036-Rmix,PN0034871,25043,RM0684,RM1632,RM6841,RM6948,11,,,2050
8/5/2017,YL0036-Rmix,PN0035951,25843,RM0684,RM1632,RM6841,RM6948,12,2,,1990
8/5/2017,YL0036-Rmix,PN0035950,25842,RM0684,RM1632,RM6841,RM6948,11,,,1990
8/15/2017,YL0036-Rmix,PN0036562,26266,RM0684,RM1632,RM6841,RM6948,10,,,1990
8/15/2017,YL0036-Rmix,PN0036563,26267,RM0684,RM1632,RM6841,RM6948,11,,,1990
8/15/2017,YL0036-Rmix,PN0036564,26268,RM0684,RM1632,RM6841,RM6948,12,,,1990
8/15/2017,YL0036-Rmix,PN0036561,26265,RM0684,RM1632,RM6841,RM6948,13,,,1990
8/25/2017,YL0036-Rmix,PN0037245,26784,RM0684,RM1677,RM6841,RM6948,11,,,1990
8/25/2017,YL0036-Rmix,PN0037242,26781,RM0684,RM1677,RM6841,RM6948,12,,,1990
8/25/2017,YL0036-Rmix,PN0037243,26782,RM0684,RM1677,RM6841,RM6948,13,,,1990
8/25/2017,YL0036-Rmix,PN0037244,26783,RM0684,RM1677,RM6841,RM6948,12,,,1990
9/1/2017,YL0036-Rmix,PN0037669,27083,RM0684,RM1632,RM6841,RM6948,13,,,1990
9/1/2017,YL0036-Rmix,PN0037670,27084,RM0684,RM1632,RM6841,RM6948,13,,,1990
9/22/2017,YL0036-Rmix,PN0039006,28050,RM0684,RM1632,RM6841,RM6948,11,,,1990
9/22/2017,YL0036-Rmix,PN0039007,28051,RM0684,RM1632,RM6841,RM6948,13,2,,1990
9/22/2017,YL0036-Rmix,PN0039008,28052,RM0684,RM1632,RM6841,RM6948,13,2,,1990
9/22/2017,YL0036-Rmix,PN0039005,28049,RM0684,RM1632,RM6841,RM6948,11,,,1990
10/20/2017,YL0036-Rmix,PN0040625,29308,RM0684,RM1632,RM6841,RM6948,12,,,1990
10/20/2017,YL0036-Rmix,PN0040626,29309,RM0684,RM1632,RM6841,RM6948,12,,,1990
10/20/2017,YL0036-Rmix,PN0040627,29310,RM0684,RM1632,RM6841,RM6948,11,2,,1990
11/9/2017,YL0036-Rmix,PN0041588,30009,RM0684,RM1632,RM6841,RM6948,13,2,,1990
11/9/2017,YL0036-Rmix,PN0041589,30010,RM0684,RM1632,RM6841,RM6948,11,1,,1990
11/9/2017,YL0036-Rmix,PN0041590,30011,RM0684,RM1632,RM6841,RM6948,12,1,,1990
2/6/2018,YL0036-Rmix,PN0046357,33453,RM0684,RM1632,RM6841,RM6948,11,,,1990
2/6/2018,YL0036-Rmix,PN0046358,33454,RM0684,RM1632,RM6841,RM6948,13,,,1990
2/6/2018,YL0036-Rmix,PN0046359,33455,RM0684,RM1632,RM6841,RM6948,11,,,1990
2/6/2018,YL0036-Rmix,PN0046360,33456,RM0684,RM1632,RM6841,RM6948,12,,,1990
3/28/2018,YL0036-Rmix,PN0049165,35424,RM0684,RM1632,RM6841,RM6948,13,,,1990
3/28/2018,YL0036-Rmix,PN0049166,35425,RM0684,RM1632,RM6841,RM6948,12,,,1990
4/3/2018,YL0036-Rmix,PN0049438,35608,RM0726,RM1632,RM6841,RM6949,12,,,1965
4/27/2018,YL0036-Rmix,PN0050872,36567,RM0726,RM1632,RM6841,RM6948,11,,,1990
4/27/2018,YL0036-Rmix,PN0050873,36568,RM0726,RM1632,RM6841,RM6948,12,,,1990
4/27/2018,YL0036-Rmix,PN0050874,36569,RM0726,RM1632,RM6841,RM6948,13,,,1990
4/30/2018,YL0036-Rmix,PN0050981,36653,RM0726,RM1632,RM6841,RM6949,11,,,1945
5/18/2018,YL0036-Rmix,PN0052178,37508,RM0684,RM1632,RM6841,RM6948,11,,,1950
5/18/2018,YL0036-Rmix,PN0052179,37509,RM0684,RM1632,RM6841,RM6948,12,,,1950
5/18/2018,YL0036-Rmix,PN0052180,37510,RM0684,RM1632,RM6841,RM6948,13,,,1950
5/18/2018,YL0036-Rmix,PN0052181,37511,RM0684,RM1632,RM6841,RM6948,12,,,1925
5/15/2018,YL0036-Rmix,PN0051927,37321,RM0684,RM1632,RM6841,RM6948,11,,,1950
5/15/2018,YL0036-Rmix,PN0051928,37322,RM0684,RM1632,RM6841,RM6948,11,,,1950
5/15/2018,YL0036-Rmix,PN0051929,37323,RM0684,RM1632,RM6841,RM6948,11,,,1950
5/22/2018,YL0036-Rmix,PN0052378,37650,RM0726,RM1632,RM6841,RM6949,12,,,1925
6/1/2018,YL0036-Rmix,PN0053010,38111,RM0726,RM1632,RM6841,RM6948,11,,,1950
6/1/2018,YL0036-Rmix,PN0053011,38112,RM0726,RM1632,RM6841,RM6948,12,,,1950
6/1/2018,YL0036-Rmix,PN0053008,38109,RM0726,RM1632,RM6841,RM6948,11,,,1950
6/1/2018,YL0036-Rmix,PN0053009,38110,RM0726,RM1632,RM6841,RM6948,13,,,1950
6/27/2018,YL0036-Rmix,PN0054517,39169,RM0726,RM1632,RM6841,RM6948,11,,,1950
6/27/2018,YL0036-Rmix,PN0054518,39170,RM0726,RM1632,RM6841,RM6948,11,,,1950
6/27/2018,YL0036-Rmix,PN0054519,39171,RM0726,RM1632,RM6841,RM6948,11,,,1950
6/27/2018,YL0036-Rmix,PN0054520,39172,RM0726,RM1632,RM6841,RM6948,11,,,1950
6/27/2018,YL0036-Rmix,PN0054521,39173,RM0726,RM1632,RM6841,RM6949,11,,,1900
7/2/2018,YL0036-Rmix,PN0054799,39391,RM0726,RM1632,RM6841,RM6948,13,,,1960
7/2/2018,YL0036-Rmix,PN0054800,39392,RM0726,RM1632,RM6841,RM6948,12,,,1960
7/2/2018,YL0036-Rmix,PN0054801,39393,RM0726,RM1632,RM6841,RM6948,12,,,1960
8/15/2018,YL0036-Rmix,PN0057090,41082,RM0726,RM1632,RM6841,RM6948,11,,,1950
8/15/2018,YL0036-Rmix,PN0057091,41083,RM0726,RM1632,RM6841,RM6948,12,,,1950
9/7/2018,YL0036-Rmix,PN0058270,41932,RM0726,RM1632,RM6841,RM6948,11,,,1950
9/7/2018,YL0036-Rmix,PN0058271,41933,RM0726,RM1632,RM6841,RM6948,11,,,1950
9/7/2018,YL0036-Rmix,PN0058276,41936,RM0726,RM1632,RM6841,RM6949,12,,,1925
9/7/2018,YL0036-Rmix,PN0058277,41937,RM0726,RM1632,RM6841,RM6949,12,,,1925
10/2/2018,YL0036-Rmix,PN0059457,42758,RM0726,RM1632,RM6841,RM6948,11,,,1950
10/2/2018,YL0036-Rmix,PN0059458,42759,RM0684,RM1632,RM6841,RM6948,12,,,1950
10/2/2018,YL0036-Rmix,PN0059459,42760,RM0684,RM1632,RM6841,RM6948,11,,,1950
10/24/2018,YL0036-Rmix,PN0060395,43427,RM0741,RM1632,RM6841,RM6948,11,,,1950
10/24/2018,YL0036-Rmix,PN0060396,43428,RM0741,RM1632,RM6841,RM6949,12,,,1925
11/16/2018,YL0036-Rmix,PN0061595,44275,RM0741,RM1632,RM6841,RM6949,11,,,1925
11/16/2018,YL0036-Rmix,PN0061596,44276,RM0741,RM1632,RM6841,RM6949,11,,,1925
11/16/2018,YL0036-Rmix,PN0061597,44277,RM0741,RM1632,RM6841,RM6949,13,,,1925
11/16/2018,YL0036-Rmix,PN0061598,44278,RM0741,RM1632,RM6841,RM6949,12,,,1910
12/28/2018,YL0036-Rmix,PN0063308,45473,RM0741,RM1632,RM6841,RM6949,12,,,1935
12/28/2018,YL0036-Rmix,PN0063309,45474,RM0741,RM1632,RM6841,RM6949,12,,,1935
12/28/2018,YL0036-Rmix,PN0063310,45475,RM0741,RM1632,RM6841,RM6949,13,,,1935
12/28/2018,YL0036-Rmix,PN0063311,45476,RM0741,RM1632,RM6841,RM6949,11,,,1935
1/10/2019,YL0036-Rmix,PN0063835,45927,RM0741,RM1632,RM6841,RM6949,12,,,1950
1/10/2019,YL0036-Rmix,PN0063836,45928,RM0741,RM1632,RM6841,RM6949,13,,,1950
2/8/2019,YL0036-Rmix,PN0065242,46918,RM0684,RM1632,RM6841,RM6949,13,,,1950
2/8/2019,YL0036-Rmix,PN0065243,46919,RM0684,RM1632,RM6841,RM6949,11,,,1950
2/8/2019,YL0036-Rmix,PN0065244,46920,RM0684,RM1632,RM6841,RM6949,12,,,1950
2/8/2019,YL0036-Rmix,PN0065245,46921,RM0684,RM1632,RM6841,RM6949,13,,,1950
2/27/2019,YL0036-Rmix,PN0066195,47568,RM0741,RM1632,RM6841,RM6949,11,,,1935
2/27/2019,YL0036-Rmix,PN0066197,47569,RM0741,RM1632,RM6841,RM6949,12,,,1935
2/27/2019,YL0036-Rmix,PN0066198,47570,RM0741,RM1632,RM6841,RM6949,13,,,1935
2/27/2019,YL0036-Rmix,PN0066199,47571,RM0741,RM1632,RM6841,RM6949,13,,,1935
