Material,rm_code,ingredient_name
BR0010P850-RMIX,RM0615,Antimony Oxide
BR0010P850-RMIX,RM0614,Antimony Oxide
BR0010P850-RMIX,RM4620,Manganic Oxide
BR0010P850-RMIX,RM4621,Manganic Oxide
BR0010P850-RMIX,RM4615,Manganic Oxide
BR0010P850-RMIX,RM4623,Manganic Oxide
BR0010P850-RMIX,RM4626,Manganic Oxide
BR0010P850-RMIX,RM6729,Titanium Dioxide - Anatase
BR0010P850-RMIX,RM6707,Titanium Dioxide - Anatase
BR0010P850-RMIX,RM6718,Titanium Dioxide - Anatase
BR0010P850-RMIX,RM6713,Titanium Dioxide - Anatase
BR0010P850-RMIX,RM6714,Titanium Dioxide - Anatase
BR0010P850-RMIX,RM6805,Tungsten Trioxide
BR0010P850-RMIX,RM6810,Tungsten Trioxide
BR0010P850-RMIX,RM6811,Tungsten Trioxide
BR0010P850-RMIX,RM6813,Tungsten Trioxide
YL0010C229-RMIX,RM6707,Titanium Dioxide - Anatase
YL0010C229-RMIX,RM6709,Titanium Dioxide - Anatase
YL0010C229-RMIX,RM6749,Titanium Dioxide - Rutile
YL0010C229-RMIX,RM0613,Antimony Oxide
YL0010C229-RMIX,RM1521,Chromium Oxide
YL0010C229-RMIX,RM1522,Chromium Oxide
YL0010C229-RMIX,RM6729,Titanium Dioxide - Anatase
YL0010C229-RMIX,RM0611,Antimony Oxide
YL0010C229-RMIX,RM0612,Antimony Oxide
YL0010C229-RMIX,RM1541,Chromium Oxide
YL0010C229-RMIX,RM6741,Titanium Dioxide - Rutile
YL0010C229-RMIX,RM6742,Titanium Dioxide - Rutile
YL0010C229-RMIX,RM0645,Antimony Oxide
YL0010C229-RMIX,RM0646,Antimony Oxide
YL0010C229-RMIX,RM0615,Antimony Oxide
YL0010C229-RMIX,RM0614,Antimony Oxide
YL0010C229-RMIX,RM1509,Chromium Oxide
YL0010C229-RMIX,RM1510,Chromium Oxide
